name,scientific_name,family,region,benefits,side_effects,toxicity,usage,english_name
Akhuparni,Ipomoea reniformis,Convolvulaceae,,Reduces swelling|Supports intestinal parasite management|Supports skin health in chronic conditions|Helps reduce fever|Promotes healthy urine flow,,low,internal,Kidney Leaf Morning Glory
Akshotaka,Juglans regia,Juglandaceae,,Soothes vata-related disorders|Builds strength|Supports chest and lung recovery|Supports recovery in debility|Relieves constipation|Supports memory and intellect|Builds strength and stamina|Nourishing and weight-building,,low,internal,Walnut
Alabu,Lagenaria siceraria,Cucurbitaceae,,Supports heart health|Eases cough|Eases breathing and respiratory discomfort|Builds strength and stamina,,low,internal,Bottle Gourd
Alarka,Calotropis procera,Apocynaceae,,Supports skin health in chronic conditions|Relieves itching|Reduces swelling|Supports intestinal parasite management|Helps manage hemorrhoids|Supports abdominal health|Purgative (professional use only),,low,internal,White Crown Flower
Ambasthaki,Hibiscus sabdariffa,Malvaceae,,Supports heart health|Improves taste and appetite|Stimulates weak digestion|Quenches excessive thirst|Promotes healthy urine flow,,low,internal,Roselle
Amlaparni,Rheum emodi,Polygonaceae,,Relieves constipation|Supports liver health|Relieves bloating|Soothes vata-related disorders|Purgative (professional use only)|Stimulates liver function,,low,internal,Indian Rhubarb
Amlavetasa,Garcinia pedunculata,Clusiaceae,,Improves taste and appetite|Aids digestion|Eases breathing and respiratory discomfort|Eases cough|Supports heart health|Stimulates digestion and appetite|Helps reduce excess fat,,low,internal,Assam Gamboge
Amra,Mangifera indica,Anacardiaceae,,Helps manage diarrhea|Helps manage dysentery|Cools and soothes heat-related bleeding|Supports urinary health (including diabetes care)|Improves taste and appetite|Builds strength and stamina|Supports reproductive vitality|Improves nutrient absorption and helps manage diarrhea,,low,internal,Mango
Amra Haridra,Curcuma amada,Zingiberaceae,,Stimulates weak digestion|Improves taste and appetite|Relieves itching|Reduces swelling|Eases cough|Stimulates digestion and appetite|Aids digestion of food and toxins,,low,internal,Mango Ginger
Amrita,Tinospora cordifolia,Menispermaceae,,Helps reduce fever|Supports liver health|Supports skin health in chronic conditions|Supports joints in gout-like conditions|Supports urinary health (including diabetes care),,low,internal,Heart-leaved Moonseed
Ankola,Alangium salviifolium,Alangiaceae,,Traditionally used in Ayurvedic management of toxins|Traditionally used in Ayurvedic management of venom exposure|Supports skin health in chronic conditions|Supports intestinal parasite management|Supports joints in inflammatory conditions|Supports detoxification from poisons|Antimicrobial and antiparasitic action,,low,internal,Sage-leaved Alangium
Apamarga,Achyranthes aspera,Amaranthaceae,,Supports intestinal parasite management|Supports lymphatic health|Supports healthy weight management|Eases cough|Helps reduce excess fat|Antimicrobial and antiparasitic action|Stimulates digestion and appetite,,low,internal,Prickly Chaff Flower
Aparajita,Clitoria ternatea,Fabaceae,,Supports mental calm|Supports skin health in chronic conditions|Traditionally used in Ayurvedic management of toxins|Reduces swelling|Supports memory and intellect,,low,internal,Butterfly Pea
Aragwadha,Cassia fistula,Fabaceae,,Supports skin health in chronic conditions|Supports healthy elimination|Helps reduce fever|Supports liver health|Supports heart health|Purgative (professional use only),,low,internal,Indian Laburnum
Aranya Jeeraka,Centratherum anthelminticum,Asteraceae,,Supports intestinal parasite management|Supports skin health in chronic conditions|Relieves itching|Supports urinary health (including diabetes care)|Reduces swelling|Antimicrobial and antiparasitic action,,low,internal,Wild Cumin
Ardraka,Zingiber officinale,Zingiberaceae,,Stimulates weak digestion|Aids digestion|Eases cough|Eases breathing and respiratory discomfort|Relieves nasal congestion and cold|Aids digestion of food and toxins|Stimulates digestion and appetite,,low,internal,Fresh Ginger
Arishtaka,Sapindus mukorossi,Sapindaceae,,Supports skin health in chronic conditions|Relieves itching|Traditionally used in Ayurvedic management of toxins|Supports healthy digestion and nutrient absorption|Supports intestinal parasite management|Emetic (professional use only)|Helps reduce excess fat,,low,internal,Soapnut
Arjuna,Terminalia arjuna,Combretaceae,,Supports heart health|Cools and soothes heat-related bleeding|Promotes wound healing|Supports bone fracture healing|Supports healthy weight management|Purifies the blood|Supports tissue repair and healing,,low,internal,Arjuna Tree
Arka,Calotropis gigantea,Apocynaceae,,Supports skin health in chronic conditions|Supports abdominal health|Helps manage hemorrhoids|Supports intestinal parasite management|Purgative (professional use only),,low,internal,Giant Calotrope
Asana,Pterocarpus marsupium,Fabaceae,,Supports urinary health (including diabetes care)|Supports healthy weight management|Supports skin health in chronic conditions|Supports skin health in pigmentary conditions|Supports intestinal parasite management|Supports healthy blood sugar|Purifies the blood,,low,internal,Indian Kino Tree
Ashoka,Saraca asoca,Fabaceae,,Supports menstrual health (heavy bleeding)|Cools and soothes heat-related bleeding|Relieves burning sensation|Supports uterine hygiene|Helps control excess discharge or bleeding,,low,internal,Ashoka Tree
Ashwattha,Ficus religiosa,Moraceae,,Cools and soothes heat-related bleeding|Promotes wound healing|Supports joints in gout-like conditions|Supports vaginal health|Supports skin health in spreading rashes|Promotes healthy skin complexion,,low,internal,Sacred Fig
Asthishrinkhala,Cissus quadrangularis,Vitaceae,,Supports bone fracture healing|Supports bone strength|Eases joint pain|Helps manage hemorrhoids|Supports tissue repair and healing|Builds strength and stamina,,low,internal,Veldt Grape
Atibala,Abutilon indicum,Malvaceae,,Soothes vata-related disorders|Supports recovery in debility|Supports urinary health (including diabetes care)|Cools and soothes heat-related bleeding|Builds strength and stamina|Soothes excess vata,,low,internal,Indian Mallow
Ativisha,Aconitum heterophyllum,Ranunculaceae,,Helps reduce fever|Helps manage diarrhea|Eases cough|Helps manage vomiting|Aids digestion of toxins|Stimulates digestion and appetite|Aids digestion of food and toxins,,low,internal,Indian Atees
Babbula,Acacia nilotica,Fabaceae,,Supports gum health|Eases cough|Helps manage diarrhea|Helps manage dysentery|Cools and soothes heat-related bleeding|Supports teeth and gum health|Cleanses wounds,,low,internal,Gum Arabic Tree
Badara,Ziziphus mauritiana,Rhamnaceae,,Cools and soothes heat-related bleeding|Quenches excessive thirst|Relieves burning sensation|Relieves fatigue|Improves taste and appetite|Builds strength and stamina|Improves nutrient absorption and helps manage diarrhea,,low,internal,Indian Jujube
Bakuchi,Psoralea corylifolia,Fabaceae,,Supports skin health in pigmentary conditions|Supports skin health in chronic conditions|Supports intestinal parasite management|Supports hair growth|Supports healthy blood levels|Promotes healthy skin complexion|Rejuvenating; promotes vitality and immunity,,low,internal,Purple Fleabane
Bakula,Mimusops elengi,Sapotaceae,,Supports gum health|Supports oral health (mouth ulcers)|Cools and soothes heat-related bleeding|Supports intestinal parasite management|Helps manage diarrhea|Improves nutrient absorption and helps manage diarrhea|Helps control bleeding,,low,internal,Bullet Wood Tree
Bala,Sida cordifolia,Malvaceae,,Soothes vata-related disorders|Supports recovery in debility|Builds strength|Cools and soothes heat-related bleeding|Supports urinary health (including diabetes care)|Builds strength and stamina|Rejuvenating; promotes vitality and immunity|Nourishing and weight-building,,low,internal,Country Mallow
Bandhuka,Pentapetes phoenicea,Malvaceae,,Relieves burning sensation|Cools and soothes heat-related bleeding|Supports menstrual health (heavy bleeding)|Helps manage diarrhea|Supports heart health,,low,internal,Scarlet Mallow
Bhadra,Aerva lanata,Amaranthaceae,,Reduces swelling|Promotes healthy urine flow|Helps dissolve urinary stones,,low,internal,Mountain Knot Grass
Bhallataka,Semecarpus anacardium,Anacardiaceae,,Helps manage hemorrhoids|Supports skin health in chronic conditions|Supports intestinal parasite management|Supports healthy digestion and nutrient absorption|Supports abdominal health|Reduces swelling|Aids digestion of food and toxins,Caustic; requires careful processing before use,high,external,Marking Nut
Bhanga,Cannabis sativa,Cannabaceae,,Helps manage diarrhea|Supports healthy digestion and nutrient absorption|Relieves pain|Promotes sleep|Eases muscular spasms and rigidity|Note: has intoxicating properties - use with care,Psychoactive; not for self-medication,high,external,Cannabis
Bharangi,Rotheca serrata,Lamiaceae,,Eases breathing and respiratory discomfort|Eases cough|Relieves hiccups|Helps reduce fever|Relieves nasal congestion and cold|Eases breathing|Relieves cough,,low,internal,Blue Fountain Bush
Bhumi Jambuka,Premna herbacea,Lamiaceae,,Supports joints in inflammatory conditions|Eases cough|Eases breathing and respiratory discomfort|Reduces swelling|Soothes vata-related disorders|Soothes excess vata,,low,internal,Pygmy Premna
Bhumyamalaki,Phyllanthus niruri,Phyllanthaceae,,Supports liver health|Supports liver and spleen health|Supports urinary health (including diabetes care)|Quenches excessive thirst|Stimulates liver function|Relieves cough|Promotes healthy urine flow,,low,internal,Gale of the Wind
Bhunimba,Andrographis paniculata,Acanthaceae,,Helps reduce fever|Supports liver health|Supports liver and spleen health|Supports intestinal parasite management|Supports skin health in chronic conditions|Soothes excess pitta|Purifies and tones the blood,,low,internal,King of Bitters
Bhurja,Betula utilis,Betulaceae,,Traditionally used in Ayurvedic management of toxins|Supports skin health in chronic conditions|Supports ear health|Cools and soothes heat-related bleeding|Supports uterine health|Supports detoxification from poisons,,low,internal,Himalayan Birch
Bhutakeshi,Selinum wallichianum,Apiaceae,,Supports nervous system health|Supports mental calm|Supports mental calm and wellbeing|Soothes vata-related disorders|Supports memory and intellect|Soothes excess vata,,low,internal,Wallich Celery
Bhutika,Cymbopogon citratus,Poaceae,,Stimulates weak digestion|Eases abdominal pain|Helps reduce fever|Relieves nasal congestion and cold|Relieves flatulence and bloating|Stimulates digestion and appetite,,low,internal,Lemongrass
Bibhitaki,Terminalia bellirica,Combretaceae,,Eases cough|Eases breathing and respiratory discomfort|Supports voice and vocal clarity|Supports eye health|Supports intestinal parasite management|Relieves cough|Antimicrobial and antiparasitic action,,low,internal,Beleric Myrobalan
Bilva,Aegle marmelos,Rutaceae,,Supports healthy digestion and nutrient absorption|Helps manage diarrhea|Helps manage dysentery|Stimulates weak digestion|Relieves pain|Improves nutrient absorption and helps manage diarrhea|Stimulates digestion and appetite,,low,internal,Bael Tree
Bimbi,Coccinia grandis,Cucurbitaceae,,Supports urinary health (including diabetes care)|Supports liver health|Relieves itching|Reduces swelling|Promotes wound healing|Supports healthy blood sugar|Reduces excess fat,,low,internal,Ivy Gourd
Brihati,Solanum indicum,Solanaceae,,Eases breathing and respiratory discomfort|Eases cough|Improves taste and appetite|Supports heart health|Helps reduce fever|Relieves cough|Reduces swelling|Stimulates digestion and appetite,,low,internal,Indian Nightshade
Chakragaja,Celosia argentea,Amaranthaceae,,Helps manage diarrhea|Cools and soothes heat-related bleeding|Supports eye health|Promotes healthy urine flow|Helps dissolve urinary stones,,low,internal,White Cockscomb
Chakramarda,Cassia tora,Fabaceae,,Supports skin health in fungal conditions|Relieves itching|Supports skin health in itchy eruptions|Supports skin health in chronic conditions|Eases breathing and respiratory discomfort|Mild laxative,,low,internal,Ringworm Plant
Chakshushya,Cassia absus,Fabaceae,,Supports eye health|Supports eye comfort in inflammation|Helps manage diarrhea|Promotes wound healing|Cools and soothes heat-related bleeding|Improves nutrient absorption and helps manage diarrhea,,low,internal,Jasmeelang
Chana,Cicer arietinum,Fabaceae,,Soothes vata-related disorders|Supports recovery in debility|Helps reduce fever|Cools and soothes heat-related bleeding|Supports urinary health (including diabetes care)|Nourishing and weight-building|Supports reproductive vitality,,low,internal,Bengal Gram
Chandana,Santalum album,Santalaceae,,Relieves burning sensation|Cools and soothes heat-related bleeding|Quenches excessive thirst|Supports skin health in chronic conditions|Promotes healthy urine flow|Supports eye health|Promotes healthy skin complexion,,low,internal,White Sandalwood
Chandrashura,Lepidium sativum,Brassicaceae,,Soothes vata-related disorders|Supports recovery in debility|Supports breast milk production|Builds strength|Builds strength and stamina,,low,internal,Garden Cress
Changeri,Oxalis corniculata,Oxalidaceae,,Supports healthy digestion and nutrient absorption|Helps manage hemorrhoids|Helps manage diarrhea|Stimulates weak digestion|Improves nutrient absorption and helps manage diarrhea|Stimulates digestion and appetite,,low,internal,Indian Sorrel
Chavika,Piper chaba,Piperaceae,,Stimulates weak digestion|Relieves bloating|Relieves pain|Helps manage hemorrhoids|Supports abdominal health|Stimulates digestion and appetite|Aids digestion of food and toxins,,low,internal,Long Pepper Stem
Chavya,Piper retrofractum,Piperaceae,,Helps manage hemorrhoids|Supports abdominal health|Relieves bloating|Relieves pain|Supports intestinal parasite management|Stimulates digestion and appetite|Aids digestion of food and toxins|Antimicrobial and antiparasitic action,,low,internal,Java Long Pepper
Chhatraka,Agaricus campestris,Agaricaceae,,Builds strength|Supports healthy weight gain|Cools and soothes heat-related bleeding|Supports breast milk production|Builds strength and stamina|Nourishing and weight-building,,low,internal,Mushroom
Chirabilva,Holoptelea integrifolia,Ulmaceae,,Helps manage hemorrhoids|Reduces swelling|Supports healthy digestion and nutrient absorption|Supports skin health in chronic conditions|Supports urinary health (including diabetes care)|Helps reduce excess fat|Improves nutrient absorption and helps manage diarrhea,,low,internal,Indian Elm
Chirayata,Swertia chirayita,Gentianaceae,,Helps reduce fever|Helps manage recurring fever|Supports liver health|Supports skin health in chronic conditions|Supports intestinal parasite management|Stimulates liver function|Antimicrobial and antiparasitic action,,low,internal,East Indian Balmony
Chitrak,Plumbago zeylanica,Plumbaginaceae,,Supports healthy digestion and nutrient absorption|Helps manage hemorrhoids|Reduces swelling|Supports abdominal health|Supports skin health in chronic conditions|Stimulates digestion and appetite|Aids digestion of food and toxins|Helps reduce excess fat,,low,internal,Leadwort
Chopchini,Smilax china,Smilacaceae,,Supports skin health in chronic conditions|Supports joints in gout-like conditions|Supports joint health|Reduces swelling|Relieves pain|Supports reproductive vitality,,low,internal,China Root
Dadima,Punica granatum,Lythraceae,,Improves taste and appetite|Quenches excessive thirst|Relieves burning sensation|Helps manage diarrhea|Helps manage dysentery|Purifies and tones the blood|Stimulates digestion and appetite,,low,internal,Pomegranate
Dadrughna,Senna alata,Fabaceae,,Supports skin health in fungal conditions|Supports skin health in chronic conditions|Relieves itching|Relieves constipation,,low,internal,Ringworm Bush
Danti,Baliospermum montanum,Euphorbiaceae,,Supports abdominal health|Helps manage hemorrhoids|Reduces swelling|Supports intestinal parasite management|Mild laxative,Strong purgative; not for self-use,medium,external,Red Physic Nut
Devadali,Luffa echinata,Cucurbitaceae,,Supports liver health|Supports spleen health|Reduces swelling|Supports intestinal parasite management|Emetic (professional use only)|Antimicrobial and antiparasitic action,,low,internal,Bristly Luffa
Devadaru,Cedrus deodara,Pinaceae,,Soothes vata-related disorders|Eases cough|Relieves nasal congestion and cold|Relieves itching|Reduces swelling|Relieves cough,,low,internal,Himalayan Cedar
Dhamargava,Luffa cylindrica,Cucurbitaceae,,Supports liver health|Supports healthy blood levels|Supports skin health in chronic conditions|Supports abdominal health|Emetic (professional use only)|Stimulates liver function,,low,internal,Sponge Gourd
Dhamasa,Fagonia indica,Zygophyllaceae,,Cools and soothes heat-related bleeding|Helps reduce fever|Relieves burning sensation|Quenches excessive thirst|Supports skin health in chronic conditions|Purifies the blood,,low,internal,Fagonia
Dhataki,Woodfordia fruticosa,Lythraceae,,Helps manage diarrhea|Helps manage dysentery|Supports menstrual health (heavy bleeding)|Quenches excessive thirst|Promotes wound healing|Supports uterine hygiene|Improves nutrient absorption and helps manage diarrhea,,low,internal,Fire Flame Bush
Dhattura,Datura metel,Solanaceae,,Eases cough|Eases breathing and respiratory discomfort|Supports skin health in chronic conditions|Helps reduce fever|Promotes wound healing|Relieves cough|Eases breathing|Relieves pain,All parts highly toxic; not for self-use,high,external,Jimsonweed
Dhava,Anogeissus latifolia,Combretaceae,,Supports urinary health (including diabetes care)|Helps manage diarrhea|Supports skin health in chronic conditions|Supports healthy blood levels|Cools and soothes heat-related bleeding|Improves nutrient absorption and helps manage diarrhea|Helps control bleeding,,low,internal,Axlewood Tree
Draksha,Vitis vinifera,Vitaceae,,Quenches excessive thirst|Relieves burning sensation|Supports recovery in debility|Supports clarity of mind|Cools and soothes heat-related bleeding|Builds strength and stamina,,low,internal,Grape
Dronapushpi,Leucas cephalotes,Lamiaceae,,Helps reduce fever|Supports liver health|Reduces swelling|Eases cough|Eases breathing and respiratory discomfort|Stimulates liver function,,low,internal,Leucas
Dugdhika,Euphorbia hirta,Euphorbiaceae,,Eases breathing and respiratory discomfort|Eases cough|Supports intestinal parasite management|Helps manage diarrhea|Supports male reproductive health|Eases breathing|Antimicrobial and antiparasitic action,,low,internal,Asthma Plant
Durva,Cynodon dactylon,Poaceae,,Cools and soothes heat-related bleeding|Quenches excessive thirst|Relieves burning sensation|Supports skin health in spreading rashes|Promotes wound healing|Helps control bleeding|Promotes healthy skin complexion,,low,internal,Bermuda Grass
Eranda,Ricinus communis,Euphorbiaceae,,Soothes vata-related disorders|Supports joints in inflammatory conditions|Relieves pain|Supports abdominal health|Eases lower-back pain|Supports healthy elimination of gas,Seeds contain ricin (highly toxic); only processed oil should be used,high,external,Castor
Gajapippali,Scindapsus officinalis,Araceae,,Stimulates weak digestion|Helps manage diarrhea|Eases cough|Eases breathing and respiratory discomfort|Soothes the throat|Relieves cough|Stimulates digestion and appetite,,low,internal,Official Elephant Pepper
Gambhari,Gmelina arborea,Lamiaceae,,Relieves burning sensation|Quenches excessive thirst|Helps reduce fever|Cools and soothes heat-related bleeding|Relieves dizziness|Reduces swelling|Builds strength and stamina,,low,internal,Beechwood
Gangeruki,Grewia tenax,Malvaceae,,Cools and soothes heat-related bleeding|Quenches excessive thirst|Relieves burning sensation|Supports chest and lung recovery|Builds strength|Builds strength and stamina,,low,internal,White Crossberry
Gavedhuka,Coix lacryma-jobi,Poaceae,,Supports healthy weight management|Reduces swelling|Helps reduce excess fat|Promotes healthy urine flow,,low,internal,Job's Tears
Godhuma,Triticum aestivum,Poaceae,,Builds strength|Soothes vata-related disorders|Supports chest and lung recovery|Supports bone fracture healing|Promotes wound healing|Builds strength and stamina|Nourishing and weight-building|Supports reproductive vitality,,low,internal,Wheat
Gojihva,Onosma bracteata,Boraginaceae,,Helps reduce fever|Cools and soothes heat-related bleeding|Eases cough|Eases breathing and respiratory discomfort|Promotes wound healing|Quenches excessive thirst|Purifies and tones the blood,,low,internal,Sedge
Gokshura,Tribulus terrestris,Zygophyllaceae,,Supports urinary health (including diabetes care)|Supports male reproductive health|Supports heart health|Promotes healthy urine flow|Supports reproductive vitality|Rejuvenating; promotes vitality and immunity|Reduces swelling,,low,internal,Puncture Vine
Gorakhmundi,Sphaeranthus indicus,Asteraceae,,Supports lymphatic health|Supports intestinal parasite management|Supports skin health in chronic conditions|Promotes healthy urine flow|Purifies the blood|Stimulates digestion and appetite,,low,internal,East Indian Globe Thistle
Granthiparni,Angelica glauca,Apiaceae,,Stimulates weak digestion|Eases breathing and respiratory discomfort|Eases cough|Relieves hiccups|Supports nervous system health|Stimulates digestion and appetite|Eases breathing,,low,internal,Angelica
Grinjana,Daucus carota,Apiaceae,,Supports vision|Helps manage hemorrhoids|Stimulates weak digestion|Purifies the blood|Supports healthy digestion and nutrient absorption|Supports eye health|Improves nutrient absorption and helps manage diarrhea,,low,internal,Carrot
Guggulu,Commiphora mukul,Burseraceae,,Supports healthy weight management|Supports joints in inflammatory conditions|Supports joints in gout-like conditions|Supports glandular health|Supports skin health in chronic conditions|Helps reduce excess fat|Reduces swelling|Cleanses wounds,,low,internal,Indian Bdellium
Gunja,Abrus precatorius,Fabaceae,,Supports hair growth|Supports hair regrowth|Supports skin health in chronic conditions|Soothes vata-related disorders|Relieves itching|Promotes hair health,,low,internal,Rosary Pea
Hamsapadi,Adiantum lunulatum,Pteridaceae,,Promotes wound healing|Supports skin health in spreading rashes|Cools and soothes heat-related bleeding|Supports nervous system health|Traditionally used in Ayurvedic management of venom exposure|Purifies the blood|Supports memory and intellect,,low,internal,Walking Maidenhair Fern
Hapusa,Juniperus communis,Cupressaceae,,Supports joints in inflammatory conditions|Helps manage hemorrhoids|Supports abdominal health|Eases lower-back pain|Promotes healthy urine flow|Stimulates digestion and appetite,,low,internal,Juniper Berry
Haritaki,Terminalia chebula,Combretaceae,,Helps manage hemorrhoids|Supports abdominal health|Supports urinary health (including diabetes care)|Supports skin health in chronic conditions|Stimulates weak digestion|Rejuvenating; promotes vitality and immunity|Purgative (professional use only)|Supports eye health|Stimulates digestion and appetite,,low,internal,Chebulic Myrobalan
Hastikarna Palasha,Leea macrophylla,Vitaceae,,Supports lymphatic health|Reduces swelling|Supports intestinal parasite management|Helps manage hemorrhoids|Promotes wound healing|Antimicrobial and antiparasitic action,,low,internal,Large-leaved Leea
Hijal,Barringtonia acutangula,Lecythidaceae,,Helps manage diarrhea|Cools and soothes heat-related bleeding|Supports urinary health (including diabetes care)|Supports skin health in chronic conditions|Helps manage vomiting|Improves nutrient absorption and helps manage diarrhea|Helps control bleeding,,low,internal,Indian Oak
